track_name,popularity,artists_names,artist_genres,danceability,energy
The Boy with the Thorn in His Side - 2011 Remaster,65,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.514,0.87
When I Think Of You,58,Janet Jackson,dance pop;r&b;urban contemporary,0.759,0.639
The Next Time I Fall (with Amy Grant),62,Peter Cetera;Amy Grant,soft rock,0.645,0.431
Rhymin & Stealin,56,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.513,0.964
Yankee Rose,57,David Lee Roth,album rock;classic rock;glam metal;hard rock,0.583,0.692
Carrie,72,Europe,album rock;glam metal;hard rock;rock;swedish hard rock;swedish melodic rock,0.455,0.487
Your Wildest Dreams,57,The Moody Blues,album rock;art rock;british invasion;classic rock;country rock;flute rock;folk rock;heartland rock;mellow gold;progressive rock;rock;singer-songwriter;soft rock;symphonic rock,0.534,0.582
Nasty,54,Janet Jackson,dance pop;r&b;urban contemporary,0.839,0.89
Tu Me Quemas,59,Eddie Santiago,salsa;salsa puertorriquena;tropical,0.714,0.762
Fool's Paradise,53,Meli'sa Morgan,contemporary r&b;new jack swing;post-disco;quiet storm;urban contemporary,0.748,0.499
You Keep Me Hangin On,65,Kim Wilde,new romantic;new wave;new wave pop,0.686,0.682
The New Style,53,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.583,0.791
In Too Deep - 2007 Remaster,53,Genesis,album rock;art rock;classic rock;hard rock;mellow gold;progressive rock;rock;soft rock;symphonic rock,0.67,0.419
Magic Dance,59,David Bowie,art rock;classic rock;glam rock;permanent wave;rock,0.735,0.854
Busca Otro Amor,61,Antonio Aguilar,mariachi;musica mexicana;norteno;ranchera,0.656,0.283
Peace Sells - 2004 Remaster,60,Megadeth,alternative metal;hard rock;melodic thrash;metal;nu metal;old school thrash;rock;speed metal;thrash metal,0.303,0.922
Everybody Have Fun Tonight,58,Wang Chung,new romantic;new wave pop;synthpop,0.728,0.619
Cruz de navajas,72,Mecano,cantautor;latin alternative;latin pop;rock en espanol;spanish pop;spanish pop rock,0.735,0.497
Rock the Night,64,Europe,album rock;glam metal;hard rock;rock;swedish hard rock;swedish melodic rock,0.57,0.931
Te Lo Pido por Favor,65,Juan Gabriel,cancion melodica;latin pop;mariachi;musica mexicana;ranchera,0.636,0.272
Summer Nights,54,Van Halen,album rock;classic rock;hard rock;rock,0.352,0.623
London Dungeon,57,Misfits,horror punk;new jersey hardcore;new jersey punk;punk,0.344,0.912
Something So Strong,55,Crowded House,australian rock;permanent wave,0.578,0.673
Peter Piper,56,Run–D.M.C.,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,0.873,0.62
Master Of Puppets (Remastered),52,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.539,0.828
La Muralla Verde,71,Los Enanitos Verdes,argentine rock;latin alternative;latin pop;latin rock;mexican pop;rock en espanol;ska argentino,0.724,0.856
"Frankly, Mr. Shankly - 2011 Remaster",61,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.713,0.748
Disposable Heroes (Remastered),52,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.264,0.931
Dress Down,58,Kaoru Akimoto,classic city pop,0.769,0.403
Cuando Seas Grande,69,Miguel Mateos - Zas,latin alternative;latin rock;mexican rock;rock en espanol,0.627,0.736
Midas Touch,51,Midnight Star,contemporary r&b;disco;funk;motown;new jack swing;post-disco;quiet storm;soul;urban contemporary,0.882,0.735
Mandolin Rain,55,Bruce Hornsby;The Range,album rock;heartland rock;mellow gold;piano rock;singer-songwriter;soft rock,0.563,0.421
Skulls,56,Misfits;Glenn Danzig,horror punk;new jersey hardcore;new jersey punk;punk,0.469,0.852
Lost In The Fifties Tonight,54,Ronnie Milsap,classic country pop;country;country rock;nashville sound,0.492,0.216
She's Crafty,52,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.811,0.851
Menuet,58,Toshifumi Hinata,japanese soundtrack,0.187,0.261
I Can't Wait,54,Nu Shooz,freestyle;post-disco,0.851,0.574
I Wanna Go Back,52,Eddie Money,album rock;classic rock;country rock;glam metal;hard rock;mellow gold;soft rock;southern rock,0.61,0.734
A Matter of Trust,59,Billy Joel,album rock;classic rock;heartland rock;mellow gold;piano rock;rock;singer-songwriter;soft rock,0.738,0.662
Bullet,55,Misfits,horror punk;new jersey hardcore;new jersey punk;punk,0.393,0.907
The Thing That Should Not Be (Remastered),53,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.679,0.716
Kiss You All Over,59,Exile,yacht rock,0.741,0.267
Like A Rock,56,Bob Seger,album rock;classic rock;country rock;detroit rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,0.399,0.645
As The World Falls Down,58,David Bowie,art rock;classic rock;glam rock;permanent wave;rock,0.633,0.642
Real Wild Child (Wild One),63,Iggy Pop,alternative rock;glam rock;permanent wave;protopunk;rock,0.59,0.851
Werewolves of London,57,Warren Zevon,country rock;folk;folk rock;heartland rock;piano rock;roots rock;singer-songwriter,0.749,0.614
There Is a Light That Never Goes Out - Take 1,60,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.64,0.828
Nobody In His Right Mind Would've Left Her,53,George Strait,contemporary country;country;country road,0.616,0.342
Marta tiene un marcapasos,69,Hombres G,latin alternative;latin pop;mexican pop;rock en espanol;spanish rock,0.596,0.947
Bonzo Goes to Bitburg,58,Ramones,alternative rock;early us punk;permanent wave;punk;rock,0.41,0.854
1982,54,Randy Travis,contemporary country;country;country gospel;country road,0.614,0.53
Let's Wait Awhile,55,Janet Jackson,dance pop;r&b;urban contemporary,0.592,0.2
No One Is To Blame,53,Howard Jones,new romantic;new wave;new wave pop;synthpop,0.743,0.354
Mad About You,52,Belinda Carlisle,new romantic;new wave pop;soft rock,0.426,0.578
Songbird,50,Kenny G,smooth jazz;smooth saxophone,0.324,0.358
Best of Both Worlds,52,Van Halen,album rock;classic rock;hard rock;rock,0.559,0.717
I Ain't Drunk - Remastered,54,Albert Collins,acoustic blues;blues;blues rock;british blues;electric blues;modern blues;texas blues;traditional blues,0.646,0.807
"Those Eyes, That Mouth",54,Cocteau Twins,alternative rock;art pop;dream pop;ethereal wave;melancholia;new wave;scottish indie;shoegaze;synthpop,0.401,0.675
I'm Your Man,62,Wham!,new romantic;new wave;new wave pop;soft rock,0.756,0.837
Talk to Me,53,Stevie Nicks,heartland rock,0.643,0.712
True,60,Spandau Ballet,new romantic;new wave;new wave pop;sophisti-pop;synthpop,0.738,0.528
Funny How Time Flies (When You're Having Fun),50,Janet Jackson,dance pop;r&b;urban contemporary,0.701,0.119
Aviéntame,59,Los Invasores De Nuevo León,banda;musica mexicana;norteno,0.602,0.48
Little Rock,50,Reba McEntire,classic oklahoma country;contemporary country;country;country dawn;country road,0.662,0.466
One Promise Too Late,51,Reba McEntire,classic oklahoma country;contemporary country;country;country dawn;country road,0.644,0.304
Y Aquí Estoy,64,Ana Gabriel,latin pop;mariachi;ranchera,0.488,0.332
Nothing's Gonna Change My Love For You,66,Glenn Medeiros,,0.451,0.424
Jam Tonight,50,Freddie Jackson,contemporary r&b;new jack swing;quiet storm;r&b;urban contemporary,0.771,0.318
"Somewhere Out There - From ""An American Tail"" Soundtrack",55,Linda Ronstadt;James Ingram,country rock;folk;folk rock;heartland rock;mellow gold;singer-songwriter;soft rock,0.32,0.221
Sweet Freedom,58,Michael McDonald,mellow gold;soft rock;yacht rock,0.778,0.625
Will You Still Love Me? - Alternate,58,Chicago,album rock;classic rock;mellow gold;rock;soft rock;yacht rock,0.482,0.601
I Won't Forget You - Remastered 2003,57,Poison,album rock;glam metal;hard rock;rock,0.287,0.84
Too Proud to Beg,57,Bob Andy,dub;lovers rock;reggae;rocksteady;roots reggae,0.875,0.512
So Amazing,55,Luther Vandross,quiet storm;soul,0.625,0.312
Have You Ever Loved Somebody,52,Freddie Jackson,contemporary r&b;new jack swing;quiet storm;r&b;urban contemporary,0.689,0.423
Astro Zombies,52,Misfits;Glenn Danzig,horror punk;new jersey hardcore;new jersey punk;punk,0.468,0.846
The Pleasure Principle,51,Janet Jackson,dance pop;r&b;urban contemporary,0.661,0.711
Doce Rosas,64,Lorenzo Antonio,new mexico music,0.663,0.551
Look What The Cat Dragged In,53,Poison,album rock;glam metal;hard rock;rock,0.512,0.96
One Man's Dream,59,Yanni,new age,0.363,0.115
Crepuscule With Nellie - Breakdown,56,Thelonious Monk Septet,bebop;contemporary post-bop;hard bop;jazz,0.585,0.0552
"Hold It Now, Hit It",51,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.791,0.738
Be Good to Yourself,53,Journey,album rock;classic rock;hard rock;heartland rock;mellow gold;rock;soft rock,0.35,0.986
True Blue,61,Madonna,dance pop;pop,0.798,0.909
Fall On Me - 2011 Remaster,55,R.E.M.,alternative rock;athens indie;permanent wave;rock,0.432,0.852
Leper Messiah (Remastered),51,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.38,0.8
Shake You Down,59,Gregory Abbott,,0.787,0.474
Lamberto Quintero,57,Antonio Aguilar,mariachi;musica mexicana;norteno;ranchera,0.736,0.424
5150,52,Van Halen,album rock;classic rock;hard rock;rock,0.254,0.72
Girl Can't Help It,52,Journey,album rock;classic rock;hard rock;heartland rock;mellow gold;rock;soft rock,0.517,0.922
Dear God - Remastered 2001,54,XTC,alternative rock;art punk;art rock;beatlesque;new romantic;new wave;new wave pop;post-punk;power pop;zolo,0.577,0.464
Battery (Remastered),50,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.48,0.923
Cool The Engines,50,Boston,album rock;classic rock;glam metal;hard rock;mellow gold;rock;soft rock,0.434,0.658
Run Rudolph Run,55,Chuck Berry,blues;blues rock;classic rock;rock;rock-and-roll;rockabilly;soul,0.681,0.715
Hijo de la luna,69,Mecano,cantautor;latin alternative;latin pop;rock en espanol;spanish pop;spanish pop rock,0.45,0.527
Little Suzi,50,Tesla,album rock;glam metal;hard rock;sacramento indie,0.55,0.719
Don't Leave Me This Way (with Sarah Jane Morris),68,The Communards;Sarah Jane Morris,hi-nrg;new romantic;new wave pop;sophisti-pop;synthpop,0.64,0.926
Wake Up Dead - 2004 Remaster,56,Megadeth,alternative metal;hard rock;melodic thrash;metal;nu metal;old school thrash;rock;speed metal;thrash metal,0.279,0.912
Welcome Home (Sanitarium) (Remastered),49,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.309,0.767
Live to Tell,61,Madonna,dance pop;pop,0.652,0.521
Turbo Lover - Remastered,58,Judas Priest,album rock;alternative metal;birmingham metal;glam metal;hard rock;metal;rock,0.551,0.876
Secret Lovers,53,Atlantic Starr,contemporary r&b;new jack swing;quiet storm;urban contemporary,0.339,0.379
Careless Whisper,62,George Michael,new wave pop,0.583,0.545
I Know What I Know (with General M.D.Shirinda & The Gaza Sisters),52,Paul Simon;General M.D.Shirinda;The Gaza Sisters,classic rock;folk;folk rock;mellow gold;permanent wave;rock;singer-songwriter;soft rock,0.795,0.741
Walk In The Shadows,53,Queensrÿche,album rock;glam metal;hard rock;metal;progressive metal;speed metal;us power metal,0.554,0.968
The Thing That Should Not Be (Remastered),47,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.679,0.716
Sin Medir Distancias,62,Diomedes Diaz;El Cocha Molina,cumbia;vallenato,0.607,0.414
There Is a Light That Never Goes Out - Take 1,54,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.64,0.828
Bigmouth Strikes Again - 2017 Master,55,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.399,0.904
Me Enamoro de Ella,60,Juan Luis Guerra y 440,,0.586,0.85
Slow Ride,49,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.714,0.601
Vámonos Pa'l Monte,53,Eddie Palmieri,jazz piano;latin jazz;salsa,0.533,0.785
Posse In Effect,49,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.666,0.912
Fue en un Cafe,46,Los Apson,,0.79,0.342
The Queen Is Dead - 2011 Remaster,56,The Smiths,madchester;new wave;permanent wave;rock;uk post-punk,0.513,0.898
Slow And Low,48,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,0.665,0.615
Big Time - 2012 Remaster,46,Peter Gabriel,album rock;art rock;classic rock;mellow gold;new romantic;new wave;permanent wave;progressive rock;rock;singer-songwriter;soft rock,0.718,0.877
The Edge of Heaven,60,Wham!,new romantic;new wave;new wave pop;soft rock,0.493,0.665
Slow Down,49,Loose Ends,brit funk;contemporary r&b;funk;new jack swing;post-disco;quiet storm;urban contemporary,0.735,0.582
The Happiest Girl In The Whole U.S.A.,50,Donna Fargo,classic country pop,0.655,0.449
My Adidas,51,Run–D.M.C.,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,0.83,0.907
Disposable Heroes (Remastered),47,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.264,0.931
Manic Monday,54,The Bangles,album rock;jangle pop;mellow gold;new romantic;new wave;new wave pop;paisley underground;singer-songwriter;soft rock,0.685,0.571
"Damage, Inc. (Remastered)",49,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.366,0.848
It's in the Way That You Use It,53,Eric Clapton,album rock;blues rock;classic rock;electric blues;mellow gold;rock;singer-songwriter;soft rock,0.534,0.925
Tuff Enuff,50,The Fabulous Thunderbirds,blues;blues rock;country rock;electric blues;heartland rock;modern blues;southern rock;texas blues,0.58,0.663
Night Songs,50,Cinderella,album rock;glam metal;hard rock,0.49,0.632
Don't Let's Start,46,They Might Be Giants,comic;geek rock;permanent wave;zolo,0.63,0.638
Cuatro Milpas,57,Antonio Aguilar,mariachi;musica mexicana;norteno;ranchera,0.456,0.383
Don't Give Up - 2012 Remaster,48,Peter Gabriel,album rock;art rock;classic rock;mellow gold;new romantic;new wave;permanent wave;progressive rock;rock;singer-songwriter;soft rock,0.543,0.257
The Boy In the Bubble,53,Paul Simon,classic rock;folk;folk rock;mellow gold;permanent wave;rock;singer-songwriter;soft rock,0.62,0.703
Doing It All For My Baby,49,Huey Lewis & The News,album rock;classic rock;hard rock;mellow gold;new romantic;new wave pop;rock;singer-songwriter;soft rock,0.378,0.604
Raise Your Hands,55,Bon Jovi,glam metal;rock,0.456,0.956
What Have You Done For Me Lately,49,Janet Jackson,dance pop;r&b;urban contemporary,0.846,0.396
Wild Wild Life,47,Talking Heads,alternative rock;art punk;dance rock;funk rock;new wave;permanent wave;post-punk;rock;zolo,0.649,0.714
Love You Down - Extended Remix,47,Ready For The World;Louil Silas Jr.,boy band;contemporary r&b;minneapolis sound;new jack swing,0.717,0.288
"Planet Rock - Original 12"" Version",50,Afrika Bambaataa;The Soulsonic Force,bronx hip hop;east coast hip hop;old school hip hop,0.947,0.859
Albur De Amor,57,Antonio Aguilar,mariachi;musica mexicana;norteno;ranchera,0.44,0.265
De Profesión...Tu Amante,53,Eddie Santiago,salsa;salsa puertorriquena;tropical,0.711,0.77
Wrap It Up,48,The Fabulous Thunderbirds,blues;blues rock;country rock;electric blues;heartland rock;modern blues;southern rock;texas blues,0.676,0.632
Gabriel's Oboe,61,Ennio Morricone,classic soundtrack;italian soundtrack;orchestral soundtrack;vintage italian soundtrack,0.233,0.195
She Will Destroy You,51,Cocteau Twins;Harold Budd,alternative rock;art pop;dream pop;ethereal wave;melancholia;new wave;scottish indie;shoegaze;synthpop,0.192,0.425
As We Lay,48,Shirley Murdock,contemporary r&b;new jack swing;quiet storm;r&b;urban contemporary,0.492,0.286
Human,49,The Human League,new romantic;new wave;new wave pop;permanent wave;sophisti-pop;synthpop,0.625,0.572
Runaway Train,59,Soul Asylum,alternative rock;grunge;permanent wave;pop rock;post-grunge,0.616,0.714
Don't Want to Know If You Are Lonely,52,Hüsker Dü,alternative rock;experimental rock;hardcore punk;noise pop;noise rock;post-hardcore;post-punk;power pop;punk,0.305,0.965
Mi Ranchito,55,Antonio Aguilar,mariachi;musica mexicana;norteno;ranchera,0.628,0.398
Orion (Remastered),47,Metallica,hard rock;metal;old school thrash;rock;thrash metal,0.367,0.672
Stripped,50,Depeche Mode,dance rock;new romantic;new wave;permanent wave;rock;synthpop,0.47,0.635
Well You Needn't - Opening,54,Thelonious Monk Septet,bebop;contemporary post-bop;hard bop;jazz,0.498,0.192
